#(dyne/cm2) (K)
Pressure	Temp
1.9314e-01   5.6268e+03
1.7918e-01   5.6484e+03
1.6622e-01   5.6697e+03
1.5458e-01   5.6867e+03
1.4375e-01   5.7036e+03
1.3458e-01   5.7274e+03
1.2601e-01   5.7513e+03
1.1823e-01   5.7718e+03
1.1095e-01   5.7921e+03
1.0430e-01   5.8091e+03
9.8053e-02   5.8260e+03
9.2249e-02   5.8381e+03
8.6789e-02   5.8500e+03
8.1789e-02   5.8598e+03
7.7096e-02   5.8694e+03
7.2761e-02   5.8768e+03
6.8670e-02   5.8840e+03
6.4880e-02   5.8896e+03
6.1314e-02   5.8952e+03
5.8046e-02   5.8988e+03
5.4953e-02   5.9024e+03
5.2099e-02   5.9036e+03
4.9383e-02   5.9047e+03
4.6897e-02   5.9049e+03
4.4548e-02   5.9049e+03
4.2392e-02   5.9047e+03
4.0341e-02   5.9045e+03
3.8444e-02   5.9030e+03
3.6645e-02   5.9016e+03
3.4981e-02   5.8992e+03
3.3385e-02   5.8968e+03
3.1917e-02   5.8936e+03
3.0513e-02   5.8904e+03
2.9202e-02   5.8866e+03
2.7961e-02   5.8829e+03
2.6802e-02   5.8789e+03
2.5692e-02   5.8749e+03
2.4659e-02   5.8718e+03
2.3669e-02   5.8688e+03
2.2751e-02   5.8659e+03
2.1868e-02   5.8631e+03
2.1046e-02   5.8594e+03
2.0259e-02   5.8558e+03
1.9527e-02   5.8529e+03
1.8821e-02   5.8501e+03
1.8170e-02   5.8486e+03
1.7542e-02   5.8471e+03
1.6964e-02   5.8462e+03
1.6409e-02   5.8452e+03
1.5904e-02   5.8464e+03
1.5417e-02   5.8476e+03
1.4985e-02   5.8520e+03
1.4568e-02   5.8565e+03
1.4211e-02   5.8662e+03
1.3869e-02   5.8759e+03
1.3322e-02   5.8518e+03
1.2795e-02   5.8269e+03
1.2079e-02   5.7651e+03
1.1398e-02   5.7025e+03
1.0874e-02   5.6661e+03
1.0377e-02   5.6303e+03
